,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.12,0.31,0.12,0.31,0.17,0.88,0.69
Wetland,0.64,0.33,0.64,0.33,0.44,0.36,0.67
Natural Grassland,0.67,0.56,0.67,0.56,0.61,0.33,0.44
Pastureland,0.86,0.88,0.86,0.88,0.87,0.14,0.12
Cropland,0.61,0.88,0.61,0.88,0.72,0.39,0.12
Water,0.89,0.96,0.89,0.96,0.92,0.11,0.04
