,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.64,0.17,0.4,0.39,0.3,0.0,0.1
Shrubland,28.85,9.62,23.72,33.65,3.53,0.0,0.64
Wetland,17.11,0.88,53.07,14.47,0.0,0.0,14.47
Natural Grassland,6.5,1.04,32.9,56.44,0.91,0.0,2.21
Pastureland,31.13,1.71,1.78,4.13,60.97,0.21,0.07
Cropland,20.0,0.0,10.0,10.0,50.0,10.0,0.0
Water,4.47,0.0,3.63,1.12,0.28,0.0,90.5
