,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,17755,23,77,81,129,1,7,18073
Shrubland,63,40,45,106,16,0,0,270
Wetland,33,7,127,45,2,0,16,230
Natural Grassland,40,9,195,496,7,0,3,750
Pastureland,386,29,15,79,2970,50,1,3530
Cropland,23,3,4,14,84,275,0,403
Water,16,1,9,5,4,0,344,379
Total,18316,112,472,826,3212,326,371,23635
