,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19550,27,85,70,106,0,19,19857
Shrubland,75,29,73,100,15,0,4,296
Wetland,36,2,115,23,3,0,50,229
Natural Grassland,45,7,264,426,7,0,25,774
Pastureland,473,23,34,67,1742,2,1,2342
Cropland,7,2,3,7,20,3,0,42
Water,21,0,7,6,2,0,340,376
Total,20207,90,581,699,1895,5,439,23916
