,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.12,0.38,0.88,0.62
Wetland,0.6,0.23,0.4,0.77
Natural Grassland,0.57,0.6,0.43,0.4
Pastureland,0.84,0.93,0.16,0.07
Cropland,0.59,0.76,0.41,0.24
Water,0.92,0.88,0.08,0.12
