,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.29,0.13,0.39,0.39,0.75,0.0,0.06
Shrubland,24.14,11.03,23.79,34.83,6.21,0.0,0.0
Wetland,13.91,1.74,56.09,14.78,0.87,0.0,12.61
Natural Grassland,5.28,1.16,34.92,56.31,1.16,0.0,1.16
Pastureland,15.6,0.69,1.13,2.41,79.8,0.33,0.04
Cropland,11.94,1.49,0.0,11.94,46.27,28.36,0.0
Water,4.32,0.27,2.43,1.62,0.27,0.0,91.08
