,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.13,0.34,0.13,0.34,0.19,0.87,0.66
Wetland,0.58,0.32,0.58,0.32,0.41,0.42,0.68
Natural Grassland,0.71,0.59,0.71,0.59,0.65,0.29,0.41
Pastureland,0.84,0.93,0.84,0.93,0.88,0.16,0.07
Cropland,0.68,0.87,0.68,0.87,0.76,0.32,0.13
Water,0.9,0.94,0.9,0.94,0.92,0.1,0.06
