,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.98,0.02,0.03
Shrubland,0.11,0.33,0.11,0.33,0.17,0.89,0.67
Wetland,0.56,0.26,0.56,0.26,0.36,0.44,0.74
Natural Grassland,0.63,0.6,0.63,0.6,0.62,0.37,0.4
Pastureland,0.58,0.84,0.58,0.84,0.68,0.42,0.16
Cropland,0.06,0.14,0.06,0.14,0.09,0.94,0.86
Water,0.89,0.85,0.89,0.85,0.87,0.11,0.15
