,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,17628,23,81,80,137,0,6,17955
Shrubland,61,38,44,106,18,0,0,267
Wetland,32,6,129,46,3,0,15,231
Natural Grassland,40,10,180,499,7,0,2,738
Pastureland,394,29,10,81,3011,49,2,3576
Cropland,26,3,4,16,92,286,0,427
Water,15,1,15,4,3,0,341,379
Total,18196,110,463,832,3271,335,366,23573
