,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.98,0.02,0.03
Shrubland,0.11,0.35,0.11,0.35,0.17,0.89,0.65
Wetland,0.6,0.23,0.6,0.23,0.33,0.4,0.77
Natural Grassland,0.56,0.59,0.56,0.59,0.58,0.44,0.41
Pastureland,0.84,0.92,0.84,0.92,0.88,0.16,0.08
Cropland,0.6,0.77,0.6,0.77,0.67,0.4,0.23
Water,0.91,0.89,0.91,0.89,0.9,0.09,0.11
