,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,97.7,0.14,0.47,0.48,1.19,0.01,0.02
Shrubland,24.53,12.45,18.87,38.11,6.04,0.0,0.0
Wetland,12.84,2.72,64.2,15.95,0.78,0.0,3.5
Natural Grassland,4.78,1.23,23.77,68.83,1.39,0.0,0.0
Pastureland,9.4,0.72,0.46,2.82,85.08,1.47,0.06
Cropland,5.2,0.39,0.77,4.43,29.29,59.92,0.0
Water,4.99,0.25,4.74,0.75,0.5,0.0,88.78
