,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19901,29,87,74,102,0,21,20214
Shrubland,79,28,80,98,15,0,4,304
Wetland,38,0,122,30,0,0,40,230
Natural Grassland,48,7,254,442,5,0,24,780
Pastureland,531,22,33,63,1350,1,1,2001
Cropland,6,1,2,4,15,2,0,30
Water,19,0,9,5,0,0,337,370
Total,20622,87,587,716,1487,3,427,23929
