,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,19198,25,82,72,144,0,20,19541
Shrubland,71,31,72,99,16,0,3,292
Wetland,32,3,113,30,1,0,50,229
Natural Grassland,41,8,263,419,8,0,28,767
Pastureland,408,17,33,66,2106,7,1,2638
Cropland,9,2,2,8,28,15,0,64
Water,17,0,7,3,2,0,345,374
Total,19776,86,572,697,2305,22,447,23905
