,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.15,0.38,0.15,0.38,0.22,0.85,0.62
Wetland,0.57,0.26,0.57,0.26,0.36,0.43,0.74
Natural Grassland,0.63,0.61,0.63,0.61,0.62,0.37,0.39
Pastureland,0.83,0.92,0.83,0.92,0.87,0.17,0.08
Cropland,0.67,0.8,0.67,0.8,0.73,0.33,0.2
Water,0.92,0.9,0.92,0.9,0.91,0.08,0.1
