,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18875,24,76,74,138,0,12,19199
Shrubland,69,32,64,104,17,0,0,286
Wetland,30,4,134,36,3,0,23,230
Natural Grassland,45,7,251,454,7,0,10,774
Pastureland,479,24,28,69,2354,7,1,2962
Cropland,8,1,3,9,49,23,0,93
Water,17,1,7,4,1,0,343,373
Total,19523,93,563,750,2569,30,389,23917
