,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,20139,30,84,77,86,0,28,20444
Shrubland,87,33,76,101,13,0,3,313
Wetland,36,0,126,27,0,0,40,229
Natural Grassland,47,10,260,438,7,0,23,785
Pastureland,515,22,26,64,1128,4,1,1760
Cropland,7,1,2,4,9,2,0,25
Water,16,0,10,4,1,0,336,367
Total,20847,96,584,715,1244,6,431,23923
