,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.1,0.32,0.9,0.68
Wetland,0.5,0.2,0.5,0.8
Natural Grassland,0.55,0.61,0.45,0.39
Pastureland,0.74,0.92,0.26,0.08
Cropland,0.07,0.6,0.93,0.4
Water,0.9,0.77,0.1,0.23
