,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.11,0.35,0.89,0.65
Wetland,0.56,0.22,0.44,0.78
Natural Grassland,0.56,0.6,0.44,0.4
Pastureland,0.8,0.91,0.2,0.09
Cropland,0.28,0.68,0.72,0.32
Water,0.91,0.87,0.09,0.13
