,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.1,0.33,0.9,0.67
Wetland,0.53,0.2,0.47,0.8
Natural Grassland,0.56,0.61,0.44,0.39
Pastureland,0.71,0.92,0.29,0.08
Cropland,0.03,0.17,0.97,0.83
Water,0.91,0.81,0.09,0.19
