,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.12,0.33,0.12,0.33,0.18,0.88,0.67
Wetland,0.64,0.34,0.64,0.34,0.44,0.36,0.66
Natural Grassland,0.69,0.56,0.69,0.56,0.62,0.31,0.44
Pastureland,0.85,0.88,0.85,0.88,0.87,0.15,0.12
Cropland,0.6,0.86,0.6,0.86,0.71,0.4,0.14
Water,0.89,0.96,0.89,0.96,0.92,0.11,0.04
