,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.98,0.02,0.03
Shrubland,0.14,0.35,0.14,0.35,0.2,0.86,0.65
Wetland,0.56,0.29,0.56,0.29,0.38,0.44,0.71
Natural Grassland,0.69,0.6,0.69,0.6,0.64,0.31,0.4
Pastureland,0.84,0.92,0.84,0.92,0.88,0.16,0.08
Cropland,0.67,0.85,0.67,0.85,0.75,0.33,0.15
Water,0.9,0.93,0.9,0.93,0.91,0.1,0.07
