,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.12,0.34,0.88,0.66
Wetland,0.55,0.23,0.45,0.77
Natural Grassland,0.58,0.59,0.42,0.41
Pastureland,0.84,0.93,0.16,0.07
Cropland,0.64,0.8,0.36,0.2
Water,0.92,0.89,0.08,0.11
