,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.98,0.02,0.03
Shrubland,0.11,0.37,0.11,0.37,0.17,0.89,0.63
Wetland,0.6,0.23,0.6,0.23,0.33,0.4,0.77
Natural Grassland,0.58,0.61,0.58,0.61,0.59,0.42,0.39
Pastureland,0.83,0.93,0.83,0.93,0.88,0.17,0.07
Cropland,0.53,0.77,0.53,0.77,0.63,0.47,0.23
Water,0.93,0.87,0.93,0.87,0.9,0.07,0.13
