,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.24,0.13,0.43,0.45,0.71,0.01,0.04
Shrubland,23.33,14.81,16.67,39.26,5.93,0.0,0.0
Wetland,14.35,3.04,55.22,19.57,0.87,0.0,6.96
Natural Grassland,5.33,1.2,26.0,66.13,0.93,0.0,0.4
Pastureland,10.93,0.82,0.42,2.24,84.14,1.42,0.03
Cropland,5.71,0.74,0.99,3.47,20.84,68.24,0.0
Water,4.22,0.26,2.37,1.32,1.06,0.0,90.77
