,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,17996,21,83,73,148,0,14,18335
Shrubland,64,33,62,100,14,0,0,273
Wetland,32,6,127,39,2,1,22,229
Natural Grassland,42,10,249,438,8,1,7,755
Pastureland,393,25,26,76,2956,48,1,3525
Cropland,22,1,6,15,65,194,0,303
Water,16,1,8,5,1,0,348,379
Total,18565,97,561,746,3194,244,392,23799
