,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.1,0.32,0.1,0.32,0.15,0.9,0.68
Wetland,0.53,0.21,0.53,0.21,0.31,0.47,0.79
Natural Grassland,0.58,0.62,0.58,0.62,0.6,0.42,0.38
Pastureland,0.66,0.89,0.66,0.89,0.76,0.34,0.11
Cropland,0.07,0.4,0.07,0.4,0.12,0.93,0.6
Water,0.9,0.79,0.9,0.79,0.84,0.1,0.21
