,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18077,20,81,75,158,0,13,18424
Shrubland,60,33,64,100,17,0,0,274
Wetland,32,5,137,24,1,0,30,229
Natural Grassland,40,7,251,444,6,0,12,760
Pastureland,393,23,32,72,2978,40,1,3539
Cropland,12,1,6,12,56,143,0,230
Water,17,1,7,4,2,0,345,376
Total,18631,90,578,731,3218,183,401,23832
