,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.45,0.14,0.43,0.35,0.53,0.0,0.1
Shrubland,25.34,9.8,24.66,33.78,5.07,0.0,1.35
Wetland,15.72,0.87,50.22,10.04,1.31,0.0,21.83
Natural Grassland,5.81,0.9,34.11,55.04,0.9,0.0,3.23
Pastureland,20.2,0.98,1.45,2.86,74.38,0.09,0.04
Cropland,16.67,4.76,7.14,16.67,47.62,7.14,0.0
Water,5.59,0.0,1.86,1.6,0.53,0.0,90.43
