,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water
Forest,98.42,0.22,0.42,0.42,0.44,0.0,0.08
Shrubland,28.01,11.07,22.8,33.55,4.23,0.0,0.33
Wetland,16.88,0.0,55.84,18.18,0.0,0.0,9.09
Natural Grassland,6.22,1.45,25.62,63.1,1.59,0.0,2.03
Pastureland,32.21,1.73,2.01,5.94,57.53,0.58,0.0
Cropland,31.25,0.0,6.25,6.25,50.0,6.25,0.0
Water,5.19,0.0,4.22,1.3,0.32,0.0,88.96
