,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,20229,34,83,81,61,0,20,20508
Shrubland,90,30,74,105,11,0,2,312
Wetland,39,2,121,33,0,0,33,228
Natural Grassland,50,8,253,434,7,0,17,769
Pastureland,437,24,25,58,856,3,1,1404
Cropland,4,0,2,2,10,2,0,20
Water,16,0,13,4,1,0,324,358
Total,20865,98,571,717,946,5,397,23599
