,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,17184,24,82,84,209,1,4,17588
Shrubland,65,33,50,101,16,0,0,265
Wetland,33,7,165,41,2,0,9,257
Natural Grassland,31,8,154,446,9,0,0,648
Pastureland,327,25,16,98,2960,51,2,3479
Cropland,27,2,4,23,152,311,0,519
Water,20,1,19,3,2,0,356,401
Total,17687,100,490,796,3350,363,371,23157
