,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.98,0.97,0.98,0.97,0.97,0.02,0.03
Shrubland,0.11,0.34,0.11,0.34,0.17,0.89,0.66
Wetland,0.58,0.24,0.58,0.24,0.34,0.42,0.76
Natural Grassland,0.59,0.61,0.59,0.61,0.6,0.41,0.39
Pastureland,0.79,0.92,0.79,0.92,0.85,0.21,0.08
Cropland,0.25,0.77,0.25,0.77,0.37,0.75,0.23
Water,0.92,0.88,0.92,0.88,0.9,0.08,0.12
