,Accuracy User,Accuracy Producer,Comission Error,Omission Error
Forest,0.98,0.97,0.02,0.03
Shrubland,0.13,0.35,0.87,0.65
Wetland,0.63,0.32,0.37,0.68
Natural Grassland,0.66,0.56,0.34,0.44
Pastureland,0.86,0.88,0.14,0.12
Cropland,0.61,0.88,0.39,0.12
Water,0.9,0.93,0.1,0.07
