,Forest,Shrubland,Wetland,Natural Grassland,Pastureland,Cropland,Water,Total
Forest,18339,22,84,70,133,0,12,18660
Shrubland,67,29,67,99,15,1,0,278
Wetland,34,3,139,30,2,0,21,229
Natural Grassland,44,8,258,444,6,1,9,770
Pastureland,463,24,28,70,2757,40,1,3383
Cropland,14,1,5,12,51,88,0,171
Water,16,1,7,8,1,0,344,377
Total,18977,88,588,733,2965,130,387,23868
